Edge{X1=0.1632123429727183, Y1=0.75, X2=0.16855817879854817, Y2=0.7592592592592593, hue=26.718747317790985, saturation=1.0, brightness=1.0}
Edge{X1=0.16855817879854817, Y1=0.7592592592592593, X2=0.1632123429727183, Y2=0.7685185185185185, hue=27.187498211860657, saturation=1.0, brightness=1.0}
Edge{X1=0.9276668660663895, Y1=0.6296296296296295, X2=0.9330127018922193, Y2=0.6203703703703703, hue=27.187498211860657, saturation=1.0, brightness=1.0}
Edge{X1=0.39842911930923247, Y1=0.06481481481481483, X2=0.3877374476575728, Y2=0.06481481481481484, hue=27.65624910593033, saturation=1.0, brightness=1.0}
Edge{X1=0.1632123429727183, Y1=0.7685185185185185, X2=0.17390401462437804, Y2=0.7685185185185186, hue=28.125, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.6203703703703703, X2=0.9223210302405596, Y2=0.6203703703703702, hue=28.59375089406967, saturation=1.0, brightness=1.0}
Edge{X1=0.3877374476575728, Y1=0.06481481481481484, X2=0.3930832834834026, Y2=0.07407407407407408, hue=28.59375089406967, saturation=1.0, brightness=1.0}
Edge{X1=0.9223210302405596, Y1=0.6203703703703702, X2=0.9169751944147297, Y2=0.611111111111111, hue=29.062501788139343, saturation=1.0, brightness=1.0}
Edge{X1=0.3930832834834026, Y1=0.07407407407407408, X2=0.3877374476575728, Y2=0.08333333333333334, hue=29.531252682209015, saturation=1.0, brightness=1.0}
Edge{X1=0.17390401462437804, Y1=0.7685185185185186, X2=0.17924985045020791, Y2=0.7777777777777778, hue=30.000003576278687, saturation=1.0, brightness=1.0}
Edge{X1=0.9169751944147297, Y1=0.611111111111111, X2=0.9223210302405596, Y2=0.6018518518518517, hue=30.468754470348358, saturation=1.0, brightness=1.0}
Edge{X1=0.3877374476575728, Y1=0.08333333333333334, X2=0.37704577600591305, Y2=0.08333333333333334, hue=30.93750536441803, saturation=1.0, brightness=1.0}
Edge{X1=0.9223210302405596, Y1=0.6018518518518517, X2=0.9330127018922193, Y2=0.6018518518518517, hue=31.4062562584877, saturation=1.0, brightness=1.0}
Edge{X1=0.37704577600591305, Y1=0.08333333333333334, X2=0.3716999401800832, Y2=0.07407407407407408, hue=31.875007152557373, saturation=1.0, brightness=1.0}
Edge{X1=0.17924985045020791, Y1=0.7777777777777778, X2=0.17390401462437804, Y2=0.7870370370370371, hue=32.343758046627045, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.6018518518518517, X2=0.9276668660663894, Y2=0.5925925925925926, hue=32.812508940696716, saturation=1.0, brightness=1.0}
Edge{X1=0.3716999401800832, Y1=0.07407407407407408, X2=0.3663541043542533, Y2=0.08333333333333334, hue=33.28125983476639, saturation=1.0, brightness=1.0}
Edge{X1=0.17390401462437804, Y1=0.7870370370370371, X2=0.1632123429727183, Y2=0.7870370370370371, hue=33.75001072883606, saturation=1.0, brightness=1.0}
Edge{X1=0.9276668660663894, Y1=0.5925925925925926, X2=0.9330127018922193, Y2=0.5833333333333333, hue=34.21876162290573, saturation=1.0, brightness=1.0}
Edge{X1=0.3663541043542533, Y1=0.08333333333333334, X2=0.35566243270259357, Y2=0.08333333333333334, hue=34.6875125169754, saturation=1.0, brightness=1.0}
Edge{X1=0.1632123429727183, Y1=0.7870370370370371, X2=0.16855817879854817, Y2=0.7962962962962963, hue=35.156263411045074, saturation=1.0, brightness=1.0}
Edge{X1=0.16855817879854817, Y1=0.7962962962962963, X2=0.16321234297271833, Y2=0.8055555555555556, hue=35.625014305114746, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.5833333333333333, X2=0.9223210302405596, Y2=0.5833333333333333, hue=36.09376519918442, saturation=1.0, brightness=1.0}
Edge{X1=0.35566243270259357, Y1=0.08333333333333334, X2=0.36100826852842344, Y2=0.0925925925925926, hue=36.09376519918442, saturation=1.0, brightness=1.0}
Edge{X1=0.9223210302405596, Y1=0.5833333333333333, X2=0.9169751944147296, Y2=0.574074074074074, hue=36.56251609325409, saturation=1.0, brightness=1.0}
Edge{X1=0.36100826852842344, Y1=0.0925925925925926, X2=0.35566243270259357, Y2=0.10185185185185186, hue=37.03126698732376, saturation=1.0, brightness=1.0}
Edge{X1=0.35566243270259357, Y1=0.10185185185185186, X2=0.3663541043542533, Y2=0.10185185185185186, hue=37.50001788139343, saturation=1.0, brightness=1.0}
Edge{X1=0.9169751944147296, Y1=0.574074074074074, X2=0.9116293585888998, Y2=0.5833333333333333, hue=37.50001788139343, saturation=1.0, brightness=1.0}
Edge{X1=0.16321234297271833, Y1=0.8055555555555556, X2=0.17390401462437807, Y2=0.8055555555555556, hue=37.968768775463104, saturation=1.0, brightness=1.0}
Edge{X1=0.9116293585888998, Y1=0.5833333333333333, X2=0.9009376869372401, Y2=0.5833333333333333, hue=38.437519669532776, saturation=1.0, brightness=1.0}
Edge{X1=0.3663541043542533, Y1=0.10185185185185186, X2=0.3716999401800832, Y2=0.11111111111111112, hue=38.90627056360245, saturation=1.0, brightness=1.0}
Edge{X1=0.17390401462437807, Y1=0.8055555555555556, X2=0.17924985045020791, Y2=0.8148148148148149, hue=39.37502145767212, saturation=1.0, brightness=1.0}
Edge{X1=0.3716999401800832, Y1=0.11111111111111112, X2=0.3663541043542533, Y2=0.12037037037037038, hue=39.84377235174179, saturation=1.0, brightness=1.0}
Edge{X1=0.9009376869372401, Y1=0.5833333333333333, X2=0.8955918511114102, Y2=0.574074074074074, hue=39.84377235174179, saturation=1.0, brightness=1.0}
Edge{X1=0.17924985045020791, Y1=0.8148148148148149, X2=0.18459568627603778, Y2=0.8055555555555556, hue=40.31252324581146, saturation=1.0, brightness=1.0}
Edge{X1=0.8955918511114102, Y1=0.574074074074074, X2=0.9009376869372401, Y2=0.5648148148148147, hue=41.250025033950806, saturation=1.0, brightness=1.0}
Edge{X1=0.3663541043542533, Y1=0.12037037037037038, X2=0.35566243270259357, Y2=0.12037037037037038, hue=40.781274139881134, saturation=1.0, brightness=1.0}
Edge{X1=0.35566243270259357, Y1=0.12037037037037038, X2=0.36100826852842344, Y2=0.12962962962962965, hue=41.71877592802048, saturation=1.0, brightness=1.0}
Edge{X1=0.9009376869372401, Y1=0.5648148148148147, X2=0.8902460152855802, Y2=0.5648148148148147, hue=42.18752682209015, saturation=1.0, brightness=1.0}
Edge{X1=0.18459568627603778, Y1=0.8055555555555556, X2=0.19528735792769752, Y2=0.8055555555555556, hue=42.65627771615982, saturation=1.0, brightness=1.0}
Edge{X1=0.36100826852842344, Y1=0.12962962962962965, X2=0.35566243270259357, Y2=0.1388888888888889, hue=43.12502861022949, saturation=1.0, brightness=1.0}
Edge{X1=0.8902460152855802, Y1=0.5648148148148147, X2=0.8849001794597504, Y2=0.5555555555555555, hue=43.593779504299164, saturation=1.0, brightness=1.0}
Edge{X1=0.35566243270259357, Y1=0.1388888888888889, X2=0.3663541043542533, Y2=0.1388888888888889, hue=44.062530398368835, saturation=1.0, brightness=1.0}
Edge{X1=0.19528735792769752, Y1=0.8055555555555556, X2=0.2006331937535274, Y2=0.8148148148148148, hue=44.53128129243851, saturation=1.0, brightness=1.0}
Edge{X1=0.8849001794597504, Y1=0.5555555555555555, X2=0.8795543436339206, Y2=0.5648148148148148, hue=45.00003218650818, saturation=1.0, brightness=1.0}
Edge{X1=0.2006331937535274, Y1=0.8148148148148148, X2=0.19528735792769755, Y2=0.8240740740740741, hue=45.468780398368835, saturation=1.0, brightness=1.0}
Edge{X1=0.3663541043542533, Y1=0.1388888888888889, X2=0.3716999401800832, Y2=0.14814814814814817, hue=45.93752861022949, saturation=1.0, brightness=1.0}
Edge{X1=0.8795543436339206, Y1=0.5648148148148148, X2=0.8688626719822609, Y2=0.5648148148148148, hue=46.40627682209015, saturation=1.0, brightness=1.0}
Edge{X1=0.8688626719822609, Y1=0.5648148148148148, X2=0.8742085078080908, Y2=0.574074074074074, hue=46.875025033950806, saturation=1.0, brightness=1.0}
Edge{X1=0.3716999401800832, Y1=0.14814814814814817, X2=0.37704577600591305, Y2=0.1388888888888889, hue=47.34377324581146, saturation=1.0, brightness=1.0}
Edge{X1=0.19528735792769755, Y1=0.8240740740740741, X2=0.20597902957935726, Y2=0.824074074074074, hue=47.81252145767212, saturation=1.0, brightness=1.0}
Edge{X1=0.37704577600591305, Y1=0.1388888888888889, X2=0.3877374476575728, Y2=0.1388888888888889, hue=48.281269669532776, saturation=1.0, brightness=1.0}
Edge{X1=0.8742085078080908, Y1=0.574074074074074, X2=0.8688626719822609, Y2=0.5833333333333333, hue=48.75001788139343, saturation=1.0, brightness=1.0}
Edge{X1=0.20597902957935726, Y1=0.824074074074074, X2=0.21132486540518713, Y2=0.8333333333333333, hue=49.21876609325409, saturation=1.0, brightness=1.0}
Edge{X1=0.8688626719822609, Y1=0.5833333333333333, X2=0.8581710003306011, Y2=0.5833333333333333, hue=49.687514305114746, saturation=1.0, brightness=1.0}
Edge{X1=0.3877374476575728, Y1=0.1388888888888889, X2=0.39308328348340266, Y2=0.14814814814814814, hue=49.687514305114746, saturation=1.0, brightness=1.0}
Edge{X1=0.8581710003306011, Y1=0.5833333333333333, X2=0.8528251645047712, Y2=0.574074074074074, hue=50.1562625169754, saturation=1.0, brightness=1.0}
Edge{X1=0.39308328348340266, Y1=0.14814814814814814, X2=0.3877374476575728, Y2=0.15740740740740738, hue=50.62501072883606, saturation=1.0, brightness=1.0}
Edge{X1=0.8528251645047712, Y1=0.574074074074074, X2=0.8474793286789414, Y2=0.5833333333333333, hue=51.093758940696716, saturation=1.0, brightness=1.0}
Edge{X1=0.3877374476575728, Y1=0.15740740740740738, X2=0.3984291193092325, Y2=0.15740740740740738, hue=51.56250715255737, saturation=1.0, brightness=1.0}
Edge{X1=0.8474793286789414, Y1=0.5833333333333333, X2=0.8367876570272816, Y2=0.5833333333333333, hue=52.03125536441803, saturation=1.0, brightness=1.0}
Edge{X1=0.3984291193092325, Y1=0.15740740740740738, X2=0.40377495513506234, Y2=0.16666666666666666, hue=52.50000357627869, saturation=1.0, brightness=1.0}
Edge{X1=0.21132486540518713, Y1=0.8333333333333333, X2=0.216670701231017, Y2=0.824074074074074, hue=52.96875178813934, saturation=1.0, brightness=1.0}
Edge{X1=0.216670701231017, Y1=0.824074074074074, X2=0.22736237288267674, Y2=0.824074074074074, hue=53.4375, saturation=1.0, brightness=1.0}
Edge{X1=0.8367876570272816, Y1=0.5833333333333333, X2=0.8314418212014518, Y2=0.574074074074074, hue=53.90624821186066, saturation=1.0, brightness=1.0}
Edge{X1=0.40377495513506234, Y1=0.16666666666666666, X2=0.39842911930923247, Y2=0.17592592592592593, hue=54.37499642372131, saturation=1.0, brightness=1.0}
Edge{X1=0.8314418212014518, Y1=0.574074074074074, X2=0.8367876570272816, Y2=0.5648148148148148, hue=54.84374463558197, saturation=1.0, brightness=1.0}
Edge{X1=0.39842911930923247, Y1=0.17592592592592593, X2=0.38773744765757273, Y2=0.17592592592592593, hue=54.84374463558197, saturation=1.0, brightness=1.0}
Edge{X1=0.22736237288267674, Y1=0.824074074074074, X2=0.22201653705684687, Y2=0.8148148148148147, hue=55.31249284744263, saturation=1.0, brightness=1.0}
